rdp	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
Bifidobacterium	0.0013	4e-04	0.2916	0.0104	0.2623	0.0214	0	0.0015	0	4e-04	0.0316	0.0343	0.1349	0.0133	0.1528	0.09	0.1034	0.0227	0.2088	0.0627	0.0066	0.0065	6e-04	0.024	0.0034	8e-04	0.4038	0.0906	0.2963	0.2408	0	0.0023	0	0.124	0.002	0.3658	0.0016	0	0	0.0038	0.1875	0.2404	0.01	0.6506	5e-04	0	0	0.013
Bilophila	0	0	0	0	0	0	5e-04	0	0	2e-04	0	0	0	0.0019	0	0	0	2e-04	0	0.0015	0	0.0069	0	0.0108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0
Bosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.0023
Butyricicoccus	0	4e-04	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium IV	0	0	0	0	0	0	0	0	0	0	0.0029	0	0	0	0	0	3e-04	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium sensu stricto	0	0	0.0097	0	0.0215	0	0	0	0.0042	0	0	0	0	0	0	0	0	0	0.0353	0	0.0408	0	0.1256	0	2e-04	0	4e-04	0	0.0036	0	0	0	3e-04	0.0062	0	0	0	0	1e-04	0	0	0	0.0801	0	0.1259	0	0.0144	0
Clostridium XlVa	0.011	7e-04	0.0011	0.0025	5e-04	0.0022	5e-04	0.001	5e-04	0.0027	0.0034	0.006	0.0069	0	0.0025	0.0011	0.0036	0.0108	0	0.0011	0.0021	0.0062	0.0028	0.0022	0.0021	8e-04	0	0	0	0	0	0	0	0	0.0015	0.0022	0	0	0	0.001	0.004	0.0112	0	0	0	0	0.0017	0
Clostridium XlVb	0.0012	0	6e-04	0	0	0	2e-04	5e-04	0.001	5e-04	7e-04	0	8e-04	2e-04	0	0	3e-04	4e-04	0	0	4e-04	2e-04	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0
Clostridium XVIII	0	0.0017	5e-04	8e-04	9e-04	4e-04	4e-04	0.0023	0.0016	0	7e-04	5e-04	0.0013	0.0043	2e-04	0.0032	0	7e-04	7e-04	0	0	9e-04	0.0023	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	6e-04
Dorea	0.0014	0.0034	0	0.0027	0	0.0085	0	0	0	0.001	0	0.0036	0	0	0	9e-04	0.0023	0	0	0.0014	0	0	0.0023	0	3e-04	0.0037	0	0.0021	4e-04	4e-04	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	2e-04	0	0	0	0
Dysosmobacter	0.0019	0.0012	7e-04	0	0	0	1e-04	2e-04	0	0.0014	6e-04	4e-04	4e-04	0.001	4e-04	0	8e-04	0.0011	4e-04	0.0016	0	0.0028	0	0.0011	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0
Eisenbergiella	0	0	0	0	0	0	0	0.0013	0	0.0157	6e-04	0.0054	5e-04	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0
Enterocloster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0	0	0	0	0	0
Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0	7e-04	0.0017	0	0	0	0	0	0	0	0	0	0
Escherichia/Shigella	0	0	0	0	0	0	0	0	0	0	3e-04	0	3e-04	0	0	0	0	0	0	2e-04	0	8e-04	0	8e-04	0	3e-04	0	0	0	0	0	0	0	0	0.0114	0	0.0087	0.031	4e-04	0.0035	0	0	0	0	0	0.0387	0	0.007
Flintibacter	0.0058	0.0027	0	0	0	0.002	0.0033	0.0014	0.0018	0.0059	0.0039	0.0053	0.0056	0.0033	0.001	0.0028	0.0028	0.0046	0.0014	0.0104	0.0023	0.0089	0.0016	0.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	8e-04	0	0	0.0022	0
Glycomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0
Ihubacter	0.001	0.0014	0	4e-04	0	0.0021	0	5e-04	4e-04	0	0	4e-04	0.0012	8e-04	5e-04	8e-04	0	0	2e-04	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinimonas	0.0071	0.003	4e-04	0.0034	0	0.0022	9e-04	9e-04	0.0012	0.003	0.0012	0.0024	4e-04	1e-04	0.0011	0.0011	0	0.0021	7e-04	0.0038	3e-04	0.002	0	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054
Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0
