Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	A1	A3	A5	B2	B4	B6	D1	D3	D5	B1	B3	B5	D8	D10	D12	A8	A10	A12	C2	C4	C6
Compound876	MFCD00093199	C13 H15 N	NA		185.12033	17.728	71302361.9374634	33750802.0480457	23223106.736862	54060212.9708836	24605107.3132283	11272230.4081939	57082884.2422202	40044154.5037048	10279747.9639505	34615546.4652421	50891103.1565283	12741971.4528146	75002412.0531145	30958866.764137	91297273.9225996	151624790.284937	101217069.234685	11654924.5177409	33439985.613983	31857459.4236492	7644465.38647988
Compound882	5-(Nitroimino)hexahydroimidazo[4,5-d]imidazol-2(1H)-one	C4 H6 N6 O3	NA		186.05042	4.486	114060.276544161	448565.351000658	135715.246514265	42276.7370754681	480238.693053528	246664.256592609	631839.532720207	780995.713252387	1093624.35064707	249083.958453085	319737.466731506	198069.901523942	410894.515174727	1144039.98196416	2236351.19878478	49018.3121866675	268743.257947223	270906.995359583	49485.6276609476	60188.7854968735	426378.288317093
Compound888	Dinitrosopentamethylenetetramine	C5 H10 N6 O2	NA		186.08678	11.342	519958.693803873	804340.912085532	609198.673158885	538458.180368787	1008319.19176558	279935.358704665	471517.499906679	868902.904356508	823538.809488159	295855.605219477	643690.571390465	605897.584949694	1551659.1851158	1088318.024136	5958915.93551874	107853.918322039	943983.62067891	117593.252796931	768711.054172516	449073.536412885	519466.76575545
Compound890	Ethyl (3-oxo-2-piperazinyl)acetate	C8 H14 N2 O3	NA		186.10039	5.268	445101.812585998	364354.55379201	712690.792918868	33263.6408725107	1481745.8852451	503820.77734117	181704.301823693	230235.956165466	91451.4208671035	845977.780121002	917941.772846914	217023.835697173	119943.815038621	305869.530988297	346386.699425336	69442.6559688696	126748.560937526	236293.691541214	81876.8237962749	435865.143659528	1113174.9002063
Compound894	1-BOC-Piperazine	C9 H18 N2 O2	NA		186.13671	4.181	499776.571068488	377638.132237624	315860.587832703	20311.8733787019	728812.819703315	133448.36407181	2016303.82652667	102553.729783056	570893.753980508	143762.364404857	265956.307819426	288542.514252604	330447.165633141	533533.910304033	329072.527711744	63512.3875010102	978728.596833917	364359.427852123	295475.759982548	111003.966091752	63461.6724334045
Compound896	capuride	C9 H18 N2 O2	NA		186.13675	14.693	345171.254631759	399215.71457657	300065.577798768	377120.152045207	1197065.9574052	403492.789373913	106051.848078396	554699.482779218	389529.388735418	99813.8852370486	182102.461960675	197293.715573221	163208.58596632	140297.285843026	2063659.24411338	816487.212465332	82514.0497438017	336601.772518873	484846.23413979	411590.562983164	341793.870831487
Compound897	2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrole-3-carboxamide	C9 H16 N2 O	NA		186.13676	5.451	2455340.32952619	2377345.01190563	1386608.73530416	300829.293135641	829585.872950373	749536.366639515	481429.893562517	1529862.88653196	161643.910889292	1300405.49539205	1469457.74322688	206290.767215091	3020530.86330548	3007420.69076019	6692564.74689742	444915.075941572	1086310.6398773	1857280.23268517	318522.08749641	410781.96667069	1876233.74798671
Compound898	3-[(3-Methylbutyl)(nitroso)amino]-2-butanone	C9 H18 N2 O2	NA		186.13677	4.545	3904331.07690378	2519317.08388816	2759097.06247779	886156.455251648	2727582.97463783	2170506.8735032	2243860.04075936	5332664.63080499	946684.382611623	3340597.67629836	3867525.04514731	804424.032803172	3962818.82086907	3569585.79960108	9771874.10200432	8121593.47341575	1928164.71634009	1500989.27158195	389202.666677917	3030128.37005117	1976535.58131698
Compound900	Propanoylagmatine	C8 H18 N4 O	NA		186.14797	4.99	88368.7708114251	245590.664289183	59501.5832978708	7594.65857196243	122393.382020734	71250.7879731834	70799.0193004075	108775.641826972	147198.870184919	78024.609560317	193721.449342322	118148.148397442	125961.400087882	197486.963865651	303806.136665538	22099.6373954836	41736.2369093715	91344.2557085943	4709.77013222647	126944.468251033	32638.9956761737
Compound904	(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinic acid	C7 H9 N O5	NA	Other	187.04716	4.344	57570.5823363821	160276.021989487	78825.4659884891	10129.1648263237	388424.731348995	359497.190684059	26237.9926487738	118168.981341785	36727.3797697039	102559.190138978	214558.283848116	35157.5112976151	9789.56785439445	99557.6670935106	70566.5873277794	21351.7798358719	43208.636466949	158504.753117136	12417.2682983174	262198.655072053	588580.315974904
Compound906	trans-3-Indoleacrylic acid	C11 H9 N O2	NA		187.06326	11.336	3586279.97903268	24799200.1402384	8063438.11863617	9606794.35136976	15698431.2287819	34110868.5010562	3915226.89780368	7472611.35238459	2059758.67802208	10513021.919242	16341953.1047884	8097581.8321786	6478378.69280868	5416729.8024073	12904608.739118	253639.608280551	8219672.84622656	17091468.3259356	11397592.3413454	15034219.6149847	17057234.3485091
Compound908	NL3680000	C11 H9 N O2	NA		187.0633	4.776	25845.8404170223	38974.0199063324	76218.4956676456	3828.11638948862	55895.0271068423	61229.1275794638	20718.4960297334	25175.433100967	16720.5207664274	67721.2805240751	76124.94088471	35737.0260734712	17980.8712801824	23223.5486510579	26150.6222236074	17292.9924445691	646476.640393065	545428.079422837	4697.26899483963	35921.2114959501	29446.7819616684
Compound911	1-(Carboxymethyl)-4-piperidinecarboxylic acid	C8 H13 N O4	NA	Superpathway of L-lysine degradation	187.08435	4.416	1967880.02461984	979272.632947518	2355855.7023987	47212.0265300804	3749225.68388863	2547444.18814882	781526.974590422	1079252.14915989	880193.462971491	2473130.25731596	3316732.40395089	638562.259776083	1291023.79060801	3259435.53897792	583593.28024261	92099.8821073285	2287451.08819408	2907059.96084718	78524.9354414035	1988159.00831629	2447207.48452945
Compound912	1,3-Diethyl-5-methyl-1,3,5-triazinane-2-thione	C8 H17 N3 S; ; C9 H17 N O3	NA; NA	; Other	187.12076	4.443	1270355.2863167	2378642.40417971	1378073.59845343	249324.834203203	1305355.57101419	1784623.03083713	493269.137695758	860938.333167782	679701.791142985	1487273.41176558	1552650.19180654	850778.895043997	1370382.72803504	1508510.42675822	768176.97258702	61649.2195309723	727976.302045408	1040683.51753095	196065.232765757	1409175.02959705	6123949.70601824
Compound914	N8-Acetylspermidine	C9 H21 N3 O	NA		187.16842	3.7	12465759.6824488	6026208.37831029	5702254.10389732	7180.61702967915	3600640.13735223	2793041.21231156	1823334.56253196	2541402.76168822	2237179.69900803	1309898.28220707	2210469.82326226	2351083.62893214	1138061.31040576	5232739.10981854	1476026.6369902	25518.6903865628	2317369.28404094	1287006.33963999	3891.52124057829	525468.621220023	861623.781986745
Compound920	Phenazone	C11 H12 N2 O	NA		188.09823	13.53	536769.533386894	1913230.04288249	614750.867817645	47186.3590248999	302769.722821758	781319.180943335	305811.609817178	428242.167840675	2768161.04470993	978449.082649678	1122657.70819011	646589.17948235	4002961.62951927	788178.577457605	1741942.63005445	61667.2838256217	3924422.46458175	51421.3788348487	43658.6667187836	525962.876773955	891645.362012306
Compound922	Azelaic acid	C9 H16 O4	NA		188.10396	15.625	657777.371880327	1344544.72109367	1176262.06575033	33028.2944494441	137980.895475723	93674.0646722039	383929.379622122	102816.669816184	196030.701118857	658452.239917901	1677816.56456094	169957.80421992	1494564.31257014	2639314.8562837	429337.795500246	136423.161777434	128529.058671493	86881.1670800659	1328724.02021036	1225462.73438653	1400391.46044901
Compound923	INK	; C16 H31 N5 O5	NA	; Superpathway of L-lysine degradation	188.116	4.422	4469392.79065847	2315531.40972211	3648405.41638076	71224.2718702408	8044047.9100491	5353791.2389257	1268863.91337296	2156077.4158197	1026639.48964766	3108701.57717103	3413636.36542602	1112544.59659138	1510898.59111044	4692907.78089943	3041718.46491012	88038.4752796621	2683819.12037865	3064962.30235194	132056.95211181	2887944.09561013	3965344.02059471
Compound924	Glycyl-L-leucine	C8 H16 N2 O3	NA	; Superpathway of L-lysine degradation	188.11602	5.405	1161179.37993668	891997.895610453	665704.054404492	62890.9372297962	2290742.06048722	2457067.86219193	187512.498857214	479220.266278567	223826.334906661	752023.794676795	836759.084377032	233574.112749249	349501.835885857	1883437.88936127	471054.09251731	39532.6125331615	445159.865609546	415780.930591065	332176.620408898	1228832.9324086	527248.395715887
Compound926	N6,N6,N6-Trimethyl-L-lysine	C9 H20 N2 O2	NA	Other	188.15244	3.626	128872.694949505	523270.192601951	178083.043361738	4600.44754554892	631869.907572077	768812.590715309	103296.07633391	317507.36436432	74433.0053118014	218591.878634503	322319.955450279	76581.9524429704	47049.6618651039	102884.146371511	532457.444993192	11162.7893907803	74320.3319313244	71845.3536707868	5627.48400794874	189234.600520822	419933.777258193
Compound927	N6,N6,N6-Trimethyl-L-lysine1,3-Diethyl-1-methyl-3-phenyldiboroxane	C9 H20 N2 O2; C11 H18 B2 O	NA	Other;	188.15351	4.498	7037657.65709949	7514751.93937847	8260491.01930949	2259729.04495676	11429207.6121484	6315805.55607904	2488419.69089943	2044704.92341803	2752007.17642381	2851338.653492	9204139.52777522	3822916.73022923	22587435.390749	6657623.0079469	3384322.55467082	2900225.59442302	6240944.08597531	5333325.99185291	780220.521541761	5843049.17673801	3175149.50346137
Compound933	Octahydro-1,6,7,8-indolizinetetrol	C8 H15 N O4	NA		189.10001	4.441	867845.509651673	547693.00807959	1151713.48000881	11328.5567690257	2554292.26048078	1385907.05867399	335671.242801682	837186.536183181	352844.90172249	994685.737335625	889968.044594375	421504.488628995	773496.66341478	1078237.46079193	1014803.37883337	25957.6143413313	898562.832561131	2151018.22939067	16939.4089589056	913368.325293568	1091628.15863902
Compound935	3603307	C9 H19 N O3	NA		189.13639	4.406	274605.652107754	347784.150672362	635635.913670168	8072.70598900793	414343.443335845	592266.380420812	229896.385406133	463477.404559697	224296.693005898	384862.638774969	502305.992985605	200610.312924643	375480.762833691	627922.168445871	822768.638628644	13709.9958077322	686702.155030798	538363.37069411	12013.8974481889	394596.156100386	986744.117714633
Compound942	4-Hydroxy-2-oxoheptanedioic acid	C7 H10 O6	NA	Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate;Other	190.04744	4.32	1102387.88609416	503934.909747454	930448.446809954	22982.9531101493	1787619.66532077	1734447.1623254	227160.005462028	1255611.16139462	212483.227382683	1214973.02197486	1106844.46162819	422928.974001333	398141.414644907	1290395.38793527	278200.51072107	46350.0431931089	616895.47768974	1741072.24107369	26955.1731233434	1673982.41301356	1243606.89719353
Compound943	7-Ethoxycoumarin	C11 H10 O3	NA		190.06288	12.191	134408.529353912	468439.501978911	258779.652688285	167312.612959287	364106.40912006	216650.197717328	206983.157939805	197367.467715672	921587.458330316	211634.142295014	635937.323636958	309361.971475386	196907.119868212	277831.512069487	83140.7906908754	265232.167192042	523423.269336019	243831.604307731	284145.650367831	344589.446677772	496714.588773494
Compound944	1-(4-methyl-2-pyridyl)pyrrolidine-2,5-dione	C10 H10 N2 O2	NA		190.06946	3.579	133845.404893905	708510.923441384	62808.3984279965	206720.829260582	681239.80599167	515336.486472365	142548.565672089	346229.652778839	123321.994817593	96177.0352648078	92551.3846062501	218105.158779183	193836.126148861	99380.3943842302	1570411.1138003	97534.3444603274	139843.266734919	186488.559899277	210076.971108071	644758.2035036	466453.812448857
Compound951	5-Hydroxyindole-3-acetic acid	C10 H9 N O3	NA		191.05806	13.597	12505178.4537231	13755117.8620181	14510330.4247621	17166814.4789937	40190007.8723733	19079685.1991291	16724752.1690183	15561304.2752433	27385642.467263	19688858.5659406	33568484.3492135	7700790.29871983	4016466.16165927	20831480.5648713	3559924.48772974	31351052.7749613	20845886.0101485	20376378.0596672	12912426.5411813	9621675.47802982	22955725.4526079
Compound954	Triisopropanolamine	C9 H21 N O3	NA		191.1522	4.415	307617.268813765	235939.30379087	279775.327789074	54848.2654867843	667585.461339787	278728.731537841	243273.89293452	800510.112029238	165373.925983039	289623.977471673	372730.931984754	253709.467199518	645358.6673349	326989.981835479	1664520.73925965	50873.189337824	1027660.83161648	195446.303514906	70757.8465971369	351203.505230505	383655.910191688
Compound958	Citric acid	C6 H8 O7	NA	Ketogluconate metabolism;Other	192.02614	4.927	28364.6750376526	26490.0312536142	45026.714554125	828670.967132067	1684070.76001767	353886.049949341	7885.40900190858	25593.8946971108	13228.3027532934	46595.0872284541	98908.3218213138	16433.0244457137	17160.5379097928	49928.7530588033	9592.59900345328	92310.5688949255	21810.2981966342	91626.1653877763	35949.5778300706	68526.5912850373	52320.842140899
Compound961	2-(5-Fluoro-2-methyl-1H-indol-3-yl)ethanamine	C11 H13 F N2	NA		192.10724	4.528	242016.040690577	126679.848140811	237128.079109068	9919.27517574971	730496.41132826	1030124.01863127	50408.498138904	178372.136160053	82072.0279115203	193055.250063484	195370.310684865	79708.9880514086	126207.839856447	459718.07028979	248735.41723719	21798.8787925725	279477.542702787	1040424.47884993	12743.374363783	248158.216121283	677277.335977437
Compound966	Iminostilbene	C14 H11 N	NA		193.08916	15.778	5197920.04369831	391571.311891651	129515.235481555	92461.3177930374	117400.053847163	69600.7578100878	246198.193833559	271368.664739192	659902.507302968	2096766.42924279	664208.307192086	1237565.75768292	405037.916523336	438277.818907705	6344038.10460982	76830.2570452864	71482.4630145433	68279.9424400235	2206619.29623963	4051117.07319473	2019120.45823978
Compound967	MFCD00155446	C11 H15 N O2	NA		193.11022	4.522	2090740.48892805	1467774.18206002	1605877.46756803	42093.2603251312	973414.951930752	952621.294898882	1153358.99752386	2161612.06141816	469390.826891189	1805546.03275205	1300963.32791293	997621.020972252	3590914.14526232	2572323.57882525	4032246.97138384	1345108.04149616	1799220.2305185	368289.211963982	58021.3542181212	1756795.62469253	335493.732986005
Compound968	MDMA	C11 H15 N O2	NA		193.11024	5.636	2371842.17803933	1005854.43843755	866927.607141965	268235.187755482	2455543.3791346	370698.819050104	449382.126787656	1096084.27632988	398002.032504551	1448165.18163648	1363778.57097204	491942.599586048	3514501.62870316	2398360.27168981	5395927.77804048	711784.614521258	1514834.15350908	821280.319443982	375355.439695287	2965748.61239944	1489185.45076005
Compound969	2-oxa-4-azatetracyclo[6.3.1.1~6,10~.0~1,5~]tridecan-3-one	C11 H15 N O2	NA		193.11033	10.634	880143.695838779	793510.590195021	684553.509657103	317436.630486724	839903.110763582	623061.763201711	684846.888580324	1947291.54630329	1070773.52080327	1044307.93659779	951181.673157409	515449.873662403	1725856.47294723	1108391.73808271	2220150.56671574	409765.915683411	1352904.65915158	317445.863277046	456189.386180742	987078.152422265	857954.329356603
Compound970	2-[2-(Dimethoxyamino)-2-propanyl]-1,3-propanediol	C8 H19 N O4	NA		193.13133	4.374	1849651.46113459	1399870.13119126	2970684.13076004	29280.633929266	3125612.26865827	1343512.52462295	1784306.18134176	2506002.57320003	491968.08446456	5582170.32485328	3094258.96036751	1473020.46688595	2699962.94975775	2791277.41106356	2677278.20529586	83212.8424783858	1972250.15957544	6571380.08818691	58444.0999832234	3337090.27459346	1601237.38852791
Compound977	Ferulic acid	C10 H10 O4	NA	Other; Superpathway of scopolin and esculin biosynthesis;Other	194.05781	14.501	7238808.8622613	9432362.34033633	8880626.23406197	7014092.76672125	19226816.211564	7273287.95295637	7785812.18778363	10687777.0377132	5383379.76113445	11022902.7176925	23105952.2749707	6865988.45810586	8410117.83987018	23643882.9017375	3415961.06861342	6346876.40625719	9426699.93888744	11053934.5913598	16403729.3627102	9066320.66757799	19574244.1857328
Compound978	4-Ethoxy ethylbenzoate	C11 H14 O3	NA		194.09416	20.757	5754198.04539573	11613878.5230149	7527866.28756216	13071091.0476783	63133660.7481023	42118964.9986499	410785.767668388	1065842.34874725	869395.112114603	1304343.33017831	2006158.26640816	714858.071398275	14397133.0522322	12585718.5565675	35094901.4247196	15579861.7946444	55694457.7853338	36396003.8597276	9008528.65727093	21912278.1729791	17757626.9324419
Compound980	6-(4-methoxyphenyl)pyrimidine-2,4-diamine	C11 H12 N4 O	NA		194.11554	5.007	259492.141912831	233275.931763871	274656.628869695	2660403.57185894	239649.227643188	284328.64899749	356360.366911065	752703.87829642	371153.691289329	307389.958413054	723549.675631549	305692.698303683	1032956.9667518	713858.953356846	842059.701633606	330339.474520119	846819.72673689	328822.984753765	884894.700740193	191205.075642999	321867.543135006
Compound981	PEG-4	C8 H18 O5	NA		194.11606	4.526	135380.055721941	83751.5421233673	208252.92521677	7466.40196016789	574624.035987583	620568.681894027	65985.4157232496	101248.429130725	131424.934086556	157966.744322959	142121.774717583	52682.9723207543	193897.024219923	284438.030406833	177381.533294983	20986.0172926806	277700.032129485	1138046.37374497	12392.1164146046	179000.158470429	458967.568341597
Compound982	4-Butyl-1,2-dimethoxybenzene	C12 H18 O2	NA		194.13051	13.347	1227185.34031348	569662.518842796	819972.921049532	167071.406057978	1881894.37895267	292182.560559617	442246.595784985	847084.724347297	356959.76312381	572828.019500133	883816.87863679	203180.553951779	168739.906955016	1574842.88388849	348051.010239194	1639232.66964545	645741.737183306	976026.892746018	233139.880637552	663737.152343178	555541.121057551
Compound984	4-AMINO-α-DIETHYLAMINO-O-CRESOL	C11 H18 N2 O	NA		194.14197	5.008	55525.5239018056	75966.8022257551	68437.7717264435	14103.3825401046	80310.6997226678	84851.9422846018	26582.8490652255	33958.3083138346	283223.733372816	51212.6726687431	127525.60103883	68609.2778812863	85354.5562471393	59961.3256475033	67966.4726076324	31560.5591523036	30982.1081449242	68108.6957115085	20157.3854749336	95385.6571348092	31398.3651130937
Compound989	N-Acetyl-4-aminosalicylic acid	C5 H5 N7 O2; C9 H9 N O4; C3 H10 N5 O3 P; C9 H9 N O4	NA; NA; NA	; Other;	195.05581	4.747	402623.385161773	492416.303201109	399146.70259855	60595.7754128914	1315787.84099939	5035146.65311807	315594.633772852	697418.519646241	246246.419759456	297126.351491565	544820.729823231	496512.827416698	121419.907969804	1023001.73684902	579041.64232275	59863.6419561785	334338.6971085	338489.971142855	88591.6325644526	285015.36191	449831.532408979
