Name	Assigned Name	Formula	Molecular Weight	RT [min]	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C2	C4	C6	D1	D2	D3	D4	D5	D6
Compound1290	Myristamide	C14 H29 N O	227.22447	23.933	201376265.628942	255444164.637963	254268902.825758	247990970.99207	164854112.970585	301807873.776324	242901945.967594	455645408.016404	325679732.85336	223897436.292505	280300328.295428	362399002.897842	135848066.297595	212918570.512295	8436190.21888632	378191862.702773	39523688.0353331	237430297.966635	19697177.1871624	23255578.6470168	311721769.122126
Compound1291	1744528	C15 H33 N	227.26084	19.414	46359564.3216554	3715461.31103971	19759986.8763528	5343675.92804675	17527297.5672347	4445851.41022148	15662166.2071966	4815020.77288532	22349333.5648121	5124969.11262858	17275726.7803917	4232471.50701227	4281920.55066797	8160835.4767206	4570597.84899042	5312079.45514486	2660019.96254989	3292547.1635175	4907390.47914211	2583410.78207156	2795206.11768761
Compound1300	2'-Deoxyuridine	C9 H12 N2 O5	228.07811	16.175	27691477.4304935	65287022.329242	19241704.1461855	29248167.9073475	66005092.5344701	44000222.8421064	23306287.571635	52958493.7479136	47374172.3525053	12012033.349205	22945536.4817346	44061963.7637016	22160360.2473119	47240116.5886658	59917081.2829009	42762386.9065607	2784483.64235168	48605731.3222714	79780749.8374313	52086980.731217	175931931.18517
Compound1301	cis-Resveratrol	C14 H12 O3	228.07823	15.941	40424233.2950766	114887260.00099	52767593.4852678	46160193.135748	43887960.5665987	90185874.0761496	52028088.8119184	121472565.776164	109988976.31511	59956951.2543255	65329594.3352423	87996779.3062107	40423590.1720836	110762365.370699	97480674.0887661	87316833.4845455	73574254.7564062	91250401.0489023	73307642.6085291	117070698.307899	83234100.6984494
Compound1303	Tetraacetylethylenediamine	C10 H16 N2 O4	228.11056	4.293	221690095.129577	429889822.709087	79153015.563581	393858413.272302	190244964.837376	586078799.955556	66677752.0401435	165194856.05188	51412501.0985789	147019502.395	27744137.133596	246700414.686012	125915676.472041	255723921.694116	138989641.63668	43619148.0878166	75578857.1048154	60493656.9116907	100967338.926484	61470103.3985294	38987517.9680584
Compound1304	Bisphenol A	C15 H16 O2	228.115	15.016	1453821.33396438	2518286.65644166	1845524.147052	2628215.00905974	2052463.80104814	2596956.54999178	5190006.02020546	2868582.10105555	2611875.29617953	2197509.68278727	2053154.73110725	3108164.85274177	1558509.99093758	2225996.20998727	2379003.80493928	49672289.023692	1924008.94380151	3256996.95839935	4411355.58410622	2754521.62813337	1951057.58823632
Compound1305	MFCD00452609	C11 H20 N2 O S	228.12925	17.297	11572462117.7285	11722281076.1709	6317202781.89526	18346148971.5499	3579905748.92855	24658214753.7847	25430207286.5706	15791168619.7945	15071157851.2831	8497603471.13079	12888879780.5411	14369171730.7167	14160601676.7741	18079997118.8994	20291997879.4386	37805784749.5129	23253279703.8855	6755180587.22925	23218252560.6513	12680192244.0532	12293797872.0294
Compound1309	Dibutyl Fumarate	C12 H20 O4	228.13568	16.521	43781655.1519268	145378860.317799	145533465.462307	81009441.7925794	34344179.1448511	65998505.6161521	43691918.5401129	112491892.424113	595594673.59443	44887464.5498558	816551412.296005	49272351.7294805	74233256.1506198	93332489.7250524	104204046.325493	206547025.635455	57417383.1056609	71408001.6305799	128637532.979278	25915440.6878833	97692045.6328091
Compound1310	Prolylleucine	C11 H20 N2 O3	228.147	4.447	146769382.838962	105858702.903245	28979989.6940526	101537866.146409	374062858.652103	121290965.982838	67036826.8911485	79362060.501776	60088760.8954017	90634012.7522925	53661063.8681845	91056205.8279614	108572760.086227	139077427.488067	195171628.488345	68373592.6064558	140604799.214737	88967403.4045843	69556791.5520262	115936578.378313	89781018.3675212
Compound1311	Leucylproline	C11 H20 N2 O3	228.14709	4.741	96040883.0734857	165783762.455542	38910794.1204408	112174567.713346	65718524.7856957	69378374.4424706	19489165.5145007	41266690.4929819	22510528.7281027	67911696.2369473	22556283.0666702	11267239.1979033	23160382.9855154	22462482.7923297	171247928.539526	60195922.8403686	21264052.4875438	43919794.0401593	88923192.8145644	24128394.339957	22813539.8307399
