Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	A7	A9	B8	B10	B12	D7	D9	B7	B9	D8	D10	D12	A8	A10	A12	C8	C10	C12
Compound56	2-Amino-3-butenoic acid	C4 H7 N O2	NA	NA	101.04807	3.51	718591.916462571	404518.914452632	3328147.9979829	2197117.53017633	3203793.36571026	131172.147713655	127757.969538458	290136.601590329	118071.11163683	7882539.75046348	1029319.46902795	10870973.2214661	2500140.83087963	9126968.79176417	1896083.94097654	3157045.75729529	2514988.27384602	2594367.17800435
Compound59	2-Oxobutyric acid	C4 H6 O3	NA	NA	102.03184	3.943	298870.557027928	190426.857483462	3977324.18470094	1755945.44656644	3955342.89905812	467109.185243342	368096.041909691	375710.432949709	150580.602109342	7779248.51488462	1109283.34804757	10065274.2366618	2393408.96380642	10391998.6649126	1396405.28183086	2226785.22950134	2059523.84386707	2252781.75035257
Compound63	N-Nitrosodiethylamine	C4 H10 N2 O	NA	NA	102.07951	3.418	18661.3347402754	20412.649347511	48238.9920001265	131994.04570739	174748.825262589	24449.0149452473	35767.2529940602	22354.5690869285	23055.8028712875	76320.2491296998	188004.977855353	47076.9605394852	45526.9437975306	85197.4811635089	103849.272262906	174608.443829005	266212.478602183	57558.7703759109
Compound65	2-Methylthiazolidine	C4 H9 N S	NA	NA	103.04584	5.371	2739433.34258298	1246491.10591268	4599796.57045263	661678.19809146	4426805.89831522	639146.583978688	658738.760607576	2041039.44094297	910340.327352449	6936994.39577697	1356601.04627723	1793677.54986745	6110029.90718951	8704633.92537932	2454645.01318313	3775249.34360378	1020135.73558192	556990.578831175
Compound67	gamma-Aminobutyric acid	C4 H9 N O2	NA	NA	103.06352	3.594	262491.782780955	157445.398950919	473419.452026675	698736.94302849	797344.390722011	86585.1899412853	125935.265034427	281137.880933326	120655.000023126	1174301.8467679	520095.631679023	1112013.8818867	654250.554046093	1579818.84299743	328761.538081672	518091.641952622	455059.602693088	419479.176216294
Compound69	Choline	C5 H13 N O	NA	NA	103.09997	3.606	74809385.457934	102892421.846342	94777030.625433	125977062.269032	89056621.1838045	62156146.3586706	54453952.4765903	70763168.7577424	57368372.9182068	315277254.500013	147446947.425253	113022247.770425	114192617.065783	190686962.208694	65840505.9508243	108820834.01295	104131746.764555	76830350.389248
Compound75	D-Serine	; C3 H7 N O3	NA	NA	105.04264	3.482	4961381.71035486	1666386.05185442	9866788.18153192	5958005.67188459	10428387.2027497	1306819.41768827	1206835.53593276	2020720.75024899	1285607.01263764	25674212.4829927	8280509.74443425	30670716.138868	12726575.5835504	25245290.6151854	6770534.86962425	8608732.75816067	6663622.80478022	6491031.37451903
Compound80	Benzaldehyde	C7 H6 O	NA	NA	106.04209	10.683	427129.585049647	295282.249876234	1036139.46322539	155265.755445573	476696.388306109	226793.875198658	286783.035457552	845156.49483966	208918.058619251	1546428.58462974	703875.563147828	382806.468162371	795186.835945495	1133885.96352308	335636.785203595	510903.797116492	300798.5224494	116424.429544028
Compound84	2-Amino-4-methylpyrimidine	C5 H7 N3	NA	NA	109.0642	3.454	558530.034867146	384215.014757963	1614686.68906532	501295.560947584	1512924.2990445	109352.335183373	178137.169277883	152413.831069729	76825.5257871099	5669828.71423491	401274.177793201	3280885.58170429	1953298.07990289	5564646.86497619	890402.782560432	1470319.14074589	902324.234607726	1109458.94372335
Compound85	3,4-Diaminopyridine	; C5 H7 N3	NA	NA	109.0642	4.172	1085746.8147835	819418.29540982	1853576.94487557	1211863.65578034	3141277.76079126	192662.215227177	822028.971803323	827971.498396224	191899.757165544	1061970.35584736	1306859.30631633	1156482.92051018	653140.031365792	5312694.65492422	1781366.15158995	278859.032976477	851066.2249347	1317225.49249321
