"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound1896,6.6581,0.0017069,2.7678,0.0090183,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound4212,6.6523,0.001714,2.766,0.0090367,GenX_100mg - PFOS_C; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_C
Compound2137,6.645,0.0017229,2.7637,0.0090643,GenX_100mg - GenX_10mg; GenX_20mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound34,6.6399,0.0017292,2.7621,0.0090784,GenX_100mg - PFOS_20mg; GenX_10mg - PFOS_20mg; GenX_20mg - PFOS_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound2657,6.623,0.0017502,2.7569,0.0091313,GenX_100mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound3981,6.6209,0.001753,2.7562,0.0091313,GenX_100mg - GenX_10mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound517,6.6199,0.0017542,2.7559,0.0091313,PFOS_5mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound3509,6.6182,0.0017563,2.7554,0.0091313,GenX_100mg - GenX_10mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound1511,6.6152,0.0017601,2.7545,0.0091313,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound3241,6.6143,0.0017612,2.7542,0.0091313,GenX_100mg - PFOS_5mg; GenX_20mg - PFOS_5mg; PFOS_10mg - PFOS_5mg; PFOS_20mg - PFOS_5mg
Compound3419,6.6043,0.001774,2.7511,0.0091783,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4380,6.5944,0.0017865,2.748,0.0092241,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_C - PFOS_10mg
Compound1938,6.5509,0.0018434,2.7344,0.0094982,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound1380,6.5384,0.0018601,2.7305,0.0095616,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound1441,6.536,0.0018633,2.7297,0.0095616,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2722,6.5196,0.0018855,2.7246,0.0096554,GenX_100mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound848,6.5011,0.001911,2.7187,0.0097658,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound4255,6.4836,0.0019353,2.7132,0.0098601,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound3855,6.4822,0.0019373,2.7128,0.0098601,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
