"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound3287,14.039,3.295e-05,4.4821,0.0017736,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound411,14.024,3.315e-05,4.4795,0.0017736,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound4065,13.996,3.3539e-05,4.4745,0.0017736,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_5mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_5mg; PFOS_20mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_C - PFOS_5mg
Compound4172,13.975,3.3829e-05,4.4707,0.0017736,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_5mg; PFOS_20mg - PFOS_5mg
Compound2846,13.949,3.4194e-05,4.4661,0.0017736,PFOS_20mg - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound1376,13.908,3.4776e-05,4.4587,0.0017736,GenX_100mg - GenX_10mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound3768,13.706,3.7827e-05,4.4222,0.0018415,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound2647,13.69,3.8072e-05,4.4194,0.0018415,GenX_100mg - PFOS_5mg; GenX_10mg - PFOS_5mg; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_5mg; PFOS_10mg - PFOS_5mg; PFOS_20mg - PFOS_5mg; PFOS_C - PFOS_5mg
Compound416,13.613,3.9317e-05,4.4054,0.0018415,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound3512,13.592,3.9679e-05,4.4014,0.0018415,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_5mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_5mg; PFOS_20mg - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound4002,13.585,3.9793e-05,4.4002,0.0018415,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound2218,13.399,4.3047e-05,4.3661,0.0019308,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
