pathway	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
PWY-5417	0.0	0.0	1.005	3.2193	0.0	1.5714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.995	0.0	0.0	0.0	0.0	2.505	4.005	0.0	3.0	0.0	76.6621	0.0	339.7579	0.0	1.4634	0.0	0.8614	0.0	0.0	1.5355	0.0	0.0	48.5671	0.0	65.5117	0.0	0.0	0.0	39.5768	0.0	5217.5969	0.0	873.0595
PWY-5419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3393	0.0	0.0	0.0	0.0	0.0	0.0	1.3045	0.0	0.0	0.0	5.0979	0.0	11.6245	0.0	0.0	0.0	0.0	0.0	0.0	0.9998	60.7481	0.0	265.3662
PWY-5420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.836	0.0	0.0	0.0	0.0	0.0	0.0	1.7775	0.0	0.0	0.0	5.6824	0.0	19.6929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.9182	0.0	424.5504
PWY-5430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.9605	0.0	0.0
PWY-5431	0.0	0.0	1.005	3.2193	0.0	1.5714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.995	0.0	0.0	0.0	0.0	2.505	4.005	0.0	3.0	0.0	76.6621	0.0	339.7579	0.0	1.4634	0.0	0.8614	0.0	0.0	1.5355	0.0	0.0	48.5671	0.0	65.5117	0.0	0.0	0.0	39.5768	0.0	5217.5969	0.0	873.0595
PWY-5484	6147.4865	8573.6681	9867.6027	8639.95	11555.8937	8662.6942	11188.4808	7777.1114	11557.0336	7475.3003	8510.7753	9160.408	8575.8581	7668.3812	8539.6836	7931.755	8349.5467	8853.6026	10435.9183	7880.3465	10337.2191	8140.8275	9279.4072	7176.0444	6928.2183	6247.2877	9853.4083	6683.292	10478.6959	5465.6756	12688.0088	5433.1197	13925.8849	5977.4968	5083.9245	4672.697	5329.6706	5855.5552	5791.2975	8738.7526	6590.9781	5876.2338	15053.9485	4564.428	8693.9997	7264.118	12849.7746	7856.2293
PWY-5499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	4.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5505	7787.9006	6213.7465	3216.6459	5953.9331	2399.0219	5088.816	4392.2794	5262.6555	4683.0704	7046.764	5057.8173	7559.6044	5778.4191	4557.8402	4732.6567	4508.7294	3896.9752	6241.6712	2439.8276	6525.7486	4860.7702	5472.0392	5481.0405	4007.7612	650.0726	1587.8115	84.4022	1162.9875	304.4557	459.5379	84.0228	438.5814	36.3907	581.5426	800.6853	398.9011	136.5295	562.3086	27.4954	1659.7748	758.7193	1626.2421	2012.6137	907.8039	2714.5866	8652.0955	5073.4592	2372.8821
PWY-5507	0.0	0.0	0.0	0.0	0.0	19.2393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0361	24.6714	0.0	0.0	0.0	0.0	28.6184	40.7447	0.0	38.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.8909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5509	5071.3315	3471.3907	1312.1702	3411.5221	1042.8855	2790.3527	2304.7853	2053.2454	2340.6393	4144.4691	2645.4673	4151.6651	3032.9028	2628.3572	2652.2597	2375.1596	1795.5005	2772.2772	1145.1268	3719.4639	2703.8867	3743.1011	3696.3091	3405.6302	271.056	649.1761	27.0743	517.6742	116.9125	173.8326	29.6538	152.7393	13.3193	224.7035	347.6239	134.0645	67.4881	413.2003	5.163	474.3441	276.1445	610.2429	1034.7718	413.6558	2769.5995	3289.3716	2728.1869	2215.5621
